Time,Variance,Lag-1 AC,Lag-2 AC,Lag-4 AC,AIC fold,AIC hopf
88.5,0.007863378258989088,-0.018938005584823756,-0.8311579187257183,0.6918911368203458,,
89.0,0.00815625869595056,-0.025030949747847447,-0.8355730456187884,0.6986873688893942,,
89.5,0.00840015462107423,-0.01889055457200699,-0.8384187061523474,0.7049384145418415,4.440663897013826e-11,0.9999999999224995
90.0,0.00869704368664623,-0.027223405134612095,-0.8409145596419204,0.710949977105337,,
90.5,0.008966331588177447,-0.01938653653596923,-0.8430500403947164,0.7170235107400186,,
91.0,0.009295474116014247,-0.028946306069653968,-0.8471550299831203,0.7222063156822801,,
91.5,0.009594784394356336,-0.023493831398581088,-0.8497864253854308,0.7273114832027933,,
92.0,0.009939510400902164,-0.02955809461309743,-0.8520929337929681,0.7338564858983002,6.026489177496404e-09,0.9999999920829863
92.5,0.010322002996583646,-0.027917697154285347,-0.8547619772168228,0.736642785001576,,
93.0,0.010697011729624404,-0.02917433620038508,-0.858056140406307,0.7431396199922585,,
93.5,0.011025653895152566,-0.02869802359245138,-0.8596742550625558,0.747058805298083,,
94.0,0.011482646486578364,-0.0255292491425174,-0.8632066516426016,0.7534817824137039,,
94.5,0.011912856206543157,-0.0316991669311318,-0.8645736663195901,0.7581574831991043,8.402914764774793e-08,0.9999998612149303
95.0,0.01238316846948235,-0.026132052559822993,-0.8692471536332168,0.7663633047333553,,
95.5,0.012787235443335805,-0.028862375076212744,-0.8709921810862835,0.7717586868101104,,
96.0,0.01331620327526525,-0.025029329423792986,-0.8749472038905233,0.7796330181816448,,
96.5,0.01375388933615414,-0.030021083572570512,-0.8771943681911555,0.7847135495381384,,
97.0,0.014340475472593633,-0.022864816389052797,-0.880979894605934,0.7917623474222466,1.520897701147263e-11,0.9999999999689975
97.5,0.01482323046674481,-0.026547813682243158,-0.8832499865257749,0.7979979963415833,,
98.0,0.015431815882199608,-0.019698974609273993,-0.8858287667425578,0.804339184871358,,
98.5,0.016013354642916054,-0.02574950648791536,-0.888173664360552,0.8090670383682124,,
