Time,Variance,Lag-1 AC,Lag-2 AC,Lag-4 AC,AIC fold,AIC hopf
140.5,0.008710149443223385,0.025615585671673012,0.03225019184149693,0.08125223495905626,,
141.0,0.008623074748097058,0.023623157516812137,0.03126632040256962,0.08236149909234897,,
141.5,0.008632701700777314,0.02518517228724175,0.030792590533554483,0.08311044307669314,,
142.0,0.008345678599416364,0.023686245345970136,0.030755906565882722,0.08278891940063834,3.3677037736194705e-24,0.0
142.5,,,,,,
143.0,,,,,,
143.5,,,,,,
144.0,,,,,,
144.5,,,,,,
145.0,,,,,,
145.5,,,,,,
146.0,,,,,,
146.5,,,,,,
147.0,,,,,,
147.5,,,,,,
148.0,,,,,,
148.5,,,,,,
149.0,,,,,,
149.5,,,,,,
