Realisation number,Time,State variable,Smoothing,Residuals,Standard deviation,Variance,Lag-1 AC,Lag-2 AC,Lag-4 AC,Coefficient of variation,Skewness,Kurtosis,Smax,AIC fold,AIC hopf,AIC null
2,62.0,0.8234601773892013,0.812003676558892,0.011456500830309246,,,,,,,,,,,,
2,62.5,0.8513328623108143,0.8106829911481135,0.0406498711627008,,,,,,,,,,,,
2,63.0,0.7818014948841141,0.8093676600025009,-0.02756616511838683,,,,,,,,,,,,
2,63.5,0.7395961481603336,0.8080576155006527,-0.0684614673403191,,,,,,,,,,,,
2,64.0,0.831513612088809,0.806757779528618,0.024755832560190982,,,,,,,,,,,,
2,64.5,0.838843479573793,0.8054696368361566,0.03337384273763644,,,,,,,,,,,,
2,65.0,0.6919631607413513,0.8041897650792812,-0.11222660433792986,,,,,,,,,,,,
2,65.5,0.7900182398991275,0.8029174883198584,-0.01289924842073098,,,,,,,,,,,,
2,66.0,0.9248741665446881,0.8016548493570484,0.12321931718763968,,,,,,,,,,,,
2,66.5,0.7909094533491645,0.8004068282131498,-0.009497374863985275,,,,,,,,,,,,
2,67.0,0.6788947456571959,0.7991707589499817,-0.12027601329278581,,,,,,,,,,,,
2,67.5,0.8145390171855142,0.7979449777563818,0.0165940394291324,,,,,,,,,,,,
2,68.0,0.9235568281688384,0.7967314856995026,0.12682534246933586,,,,,,,,,,,,
2,68.5,0.7647914533832854,0.7955355550867228,-0.030744101703437443,,,,,,,,,,,,
2,69.0,0.6756261113633536,0.7943540976925192,-0.11872798632916559,,,,,,,,,,,,
2,69.5,0.785191415963599,0.7931861362481883,-0.007994720284589363,,,,,,,,,,,,
2,70.0,0.8885984403174131,0.7920319920127393,0.09656644830467376,,,,,,,,,,,,
2,70.5,0.7873534437221414,0.7908963889190275,-0.003542945196886027,,,,,,,,,,,,
2,71.0,0.7012799090418271,0.7897802365540393,-0.08850032751221215,,,,,,,,,,,,
2,71.5,0.8016850891453771,0.7886807693969788,0.013004319748398219,,,,,,,,,,,,
2,72.0,0.8553790089626768,0.7875973963437566,0.06778161261892024,,,,,,,,,,,,
2,72.5,0.7403905281562293,0.7865332616608548,-0.0461427335046255,,,,,,,,,,,,
2,73.0,0.7609900000654825,0.7854936137845021,-0.024503613719019657,,,,,,,,,,,,
2,73.5,0.8285759928791249,0.7844743388655411,0.04410165401358379,,,,,,,,,,,,
2,74.0,0.8263780518709252,0.7834746594579234,0.042903392413001784,,,,,,,,,,,,
2,74.5,0.7142685427609073,0.7824941705482465,-0.0682256277873392,0.054404958552934125,0.0029598995151464804,0.07007871129559066,-0.6372700257352693,0.531944127010155,0.061846175046969355,-0.12675891557269406,0.5739630287747551,0.0005320765056982404,1.061573608827436e-23,1.0,1.878713000315394e-23
2,75.0,0.7292610444254835,0.7815371928802501,-0.05227614845476669,0.05457248101214717,0.0029781556838211634,0.0760415850896624,-0.6435590161440845,0.5343363174514882,0.06215252835465838,-0.10592460440339252,0.5324604037651608,,,,
2,75.5,0.8869544248924177,0.7806079887628454,0.10634643612957229,0.05494314694535306,0.0030187493962586594,0.054026129205609216,-0.6543373297930201,0.5373457155237507,0.06264094587620679,-0.08414718270725997,0.5098380742797299,,,,
2,76.0,0.8458441502682764,0.7797018227767568,0.0661423274915196,0.055003707081549634,0.0030254077927129135,0.0665465706089048,-0.6751678381480793,0.541219586986209,0.06278962195988558,-0.08334881211259268,0.49981728250151736,,,,
2,76.5,0.7660832963719338,0.7788183869647226,-0.012735090592788767,0.05500907603342913,0.003025998446051587,0.06228662656422415,-0.6708309631885195,0.5400868882126242,0.0628932426169122,-0.07334403006665584,0.49737279291245645,,,,
2,77.0,0.7547690431947376,0.7779581594963544,-0.023189116301616797,0.05461752903566686,0.002983074477961913,0.061070428489680736,-0.6768929841973499,0.538389961862155,0.06258201160377865,-0.059416346949909986,0.5582280869944133,0.000555452387398011,1.0658697488160798e-25,1.0,2.1888332712667387e-25
2,77.5,0.7390017352188721,0.7771244909309105,-0.03812275571203838,0.05470365163175548,0.002992489501848464,0.06306060213728065,-0.6754434832341821,0.5218211696486353,0.06279131829440389,-0.042120268592748165,0.536071597255081,,,,
2,78.0,0.7861739401519052,0.7763198157454766,0.009854124406428633,0.05470693549425573,0.002992848791172658,0.06203175768880422,-0.6771026201903512,0.522773914785116,0.0628785396918807,-0.043709162722320186,0.5353052649905226,,,,
2,78.5,0.7366703101151902,0.7755406244762328,-0.0388703143610426,0.05477227273189588,0.0030000018602171848,0.05910377000056701,-0.6778839638653804,0.5227828718821222,0.06307057082759536,-0.023236991914257,0.5189045123403917,,,,
2,79.0,0.7222845490359584,0.7747860158581097,-0.05250146682215129,0.05483521690645753,0.0030069010131782464,0.05795487362396963,-0.6878715696678508,0.5234033604331709,0.06327642543254773,0.0028162885709907826,0.5057053690057505,,,,
2,79.5,0.7441278208130933,0.7740594482838056,-0.02993162747071232,0.05464431998517636,0.0029860017066423443,0.05227108789431545,-0.688417380004203,0.5256466988053614,0.06318861014636266,0.025892603464485305,0.5444634571399668,0.0006863102193028391,1.6958656281010193e-35,1.0,4.044697281699187e-35
2,80.0,0.7565877557900271,0.7733658328045669,-0.016778077014539816,0.054384014858312416,0.0029576210721091456,0.05153428509801093,-0.690301137614722,0.5291729029772847,0.06301520219750213,0.04457322848932464,0.5993933395502606,,,,
2,80.5,0.7506983173091937,0.772700896027744,-0.02200257871855038,0.05440051783573287,0.00295941634079589,0.051791656065740474,-0.6883685064563845,0.5303032371339133,0.06313874895426543,0.0569467645978175,0.5959741152091902,,,,
2,81.0,0.7163276330997802,0.7720642671631104,-0.05573663406333018,0.054566827255627594,0.0029775386367455023,0.053849706432637603,-0.6838317963073618,0.5329736882756319,0.06345491209548479,0.07582215069087343,0.5608877004220562,,,,
2,81.5,0.8050443561070021,0.7714542395147203,0.03359011659228184,0.05463571961564806,0.0029850618579197103,0.04951507426235335,-0.6841434032219877,0.5299699683001077,0.06361123054373174,0.06798861831051983,0.5429074280616217,,,,
2,82.0,0.7814793353029297,0.770872650591939,0.010606684710990688,0.054639408947536154,0.0029854650101360943,0.050175211468913905,-0.6831872377719812,0.5314547744283256,0.06369409830722798,0.060423315980778956,0.5412806883569894,0.0008201194474949445,1.329691435172297e-36,1.0,3.2921206804479796e-36
2,82.5,0.6809688608467754,0.7703256614658909,-0.08935680061911544,0.055107411759042345,0.0030368268307806386,0.04797094202814004,-0.6842415208701523,0.5308235475692265,0.06436865101611909,0.059828510778936264,0.46819922955063986,,,,
2,83.0,0.6702031970343111,0.769810413490495,-0.09960721645618387,0.05565179254770854,0.0030971220137731873,0.06342448354833646,-0.6837816698128995,0.537405392180834,0.06515679211991009,0.0644969015099351,0.40160983687124807,,,,
2,83.5,0.8463053848171476,0.7693249977797094,0.07698038703743815,0.05586286769694992,0.0031206599873269307,0.0406389066289207,-0.6905727397312724,0.5443980424320305,0.06548185921869955,0.0679056693282975,0.37154047747798075,,,,
2,84.0,0.8319856689605639,0.7688684938794897,0.06311717508107417,0.055996888091261736,0.0031356514759052906,0.051572092393220526,-0.6934351331829376,0.5522217241885542,0.06572036496294954,0.06734979108817238,0.3481142921067963,,,,
2,84.5,0.6904971232108693,0.7684415230572919,-0.07794439984642254,0.0563381926835643,0.003173991954850418,0.040459375747452876,-0.6979982677829207,0.5589649326695527,0.06625207826607758,0.0763803277854848,0.2914673608444562,0.0008267907634683228,6.180510696594232e-31,1.0,1.516486841322294e-30
2,85.0,0.6644596965553852,0.7680484459291756,-0.10358874937379048,0.05689669233872433,0.0032372335990874523,0.05428793880046025,-0.7073652135112075,0.5679967188542304,0.06704118860637687,0.06315777396734205,0.23249989769887297,,,,
2,85.5,0.8284712359510288,0.7676869239498427,0.06078431200118606,0.05709103113556859,0.003259385836122462,0.03731224913110268,-0.7098187951050747,0.5735241283967817,0.06731600826797701,0.04051519759537416,0.19601772009564283,,,,
2,86.0,0.7840694403240002,0.7673540751475639,0.016715365176436237,0.05693049320683426,0.0032410810567734018,0.04226526743485263,-0.7099621277587059,0.5770008846715596,0.06718080027502611,0.020825407934545657,0.2255582377453081,,,,
2,86.5,0.6100160182920579,0.7670544752212912,-0.15703845692923335,0.05829089884194144,0.00339782888780145,0.03598503533827256,-0.7108054319146055,0.583523829647117,0.06897778403074167,-0.047452210730399395,0.2723810337600206,,,,
2,87.0,0.7453849945310778,0.7667884529216236,-0.021403458390545804,0.058300228341485814,0.0033989166246693858,0.040977179421647525,-0.7108828279639258,0.5830566105636992,0.06908737913101545,-0.045757396865129654,0.27018318435042554,0.0007802689168104571,6.029933939490577e-29,1.0,1.4728208969892515e-28
2,87.5,0.9626788518768299,0.7665552879452739,0.19612356393155594,0.06052431491301222,0.003663192695689473,0.032279554694340476,-0.7298512834503852,0.5840725755452953,0.07171532240715105,0.13893316624245294,0.6142948476728913,,,,
2,88.0,0.7953745910994005,0.7663529115254195,0.02902167957398094,0.060567252728503995,0.0036683921030784745,0.041120532201606205,-0.7325019971856083,0.5867179273571985,0.07185511480295301,0.13362827749230793,0.6032650161039864,,,,
2,88.5,0.5692183245842175,0.7661776529630844,-0.19695932837886687,0.06246842431367725,0.003902304036233623,0.025177341787885384,-0.7514298057757709,0.6151165379516731,0.07435843653006056,-0.009124766823332518,0.8332383122729613,,,,
2,89.0,0.6667224066204142,0.7660345691466346,-0.09931216252622044,0.06285786871132215,0.003951111658929812,0.056898413344080544,-0.749477332762727,0.6135420908308779,0.07500676860773633,0.009404296673908949,0.7731530410841659,,,,
2,89.5,0.8871891864090776,0.7659252499120518,0.12126393649702583,0.06367759486717249,0.004054836088067753,0.03479133252346477,-0.758099550451326,0.6269037672405436,0.07600385976650771,0.01681494891022539,0.6831146571693797,0.000832012794541346,1.0975810577478362e-38,1.0,2.6491528333052595e-38
2,90.0,0.6908110536057078,0.7658480387109554,-0.07503698510524759,0.06385738253652823,0.0040777653044165,0.017102322764763162,-0.737951348534044,0.6228156014380046,0.07634039187434107,0.018562504573831493,0.6511094847673016,,,,
2,90.5,0.5835470440960142,0.7658022845004412,-0.18225524040442698,0.06544478240977884,0.004283019544663299,0.03776618873806612,-0.7461261192780133,0.6513796735268962,0.07843421822901352,-0.07525566031089737,0.6847484161917805,,,,
2,91.0,0.8735281891875177,0.7657821654198584,0.1077460237676593,0.0660791222175409,0.004366450393040708,0.005294309314152509,-0.7493539223495251,0.6230752309266152,0.07923707332479427,-0.07063720711105013,0.6037269063149028,,,,
